transaction_id,consumer_number,account_number,amount,transaction_date,transaction_time,transaction_status
TXN9001,CN9001,AC9001,2210.15,2026-07-04,11:55:25,SUCCESS
TXN6002,CN7002,AC7002,3761.41,2026-07-06,16:05:37,PENDING
TXN6003,CN7003,AC7003,449.38,2026-07-01,11:14:32,FAILED
TXN6004,CN7004,AC7004,424.72,2026-07-02,18:44:34,PENDING
TXN6005,CN7005,AC7005,1336.07,2026-07-05,12:51:55,SUCCESS
TXN6006,CN7006,AC7006,3866.39,2026-07-02,14:21:17,SUCCESS
TXN6007,CN7007,AC7007,1311.97,2026-07-07,13:06:05,PENDING
TXN6008,CN7008,AC7008,754.57,2026-07-07,13:38:16,SUCCESS
TXN6009,CN7009,AC7009,3729.74,2026-07-05,09:59:24,SUCCESS
TXN6010,CN7010,AC7010,2894.59,2026-07-07,18:39:56,SUCCESS
TXN6011,CN7011,AC7011,3013.56,2026-07-07,09:02:42,SUCCESS
TXN6012,CN7012,AC7012,3933.42,2026-07-01,11:55:06,PENDING
TXN6013,CN7013,AC7013,1606.48,2026-07-06,13:10:23,SUCCESS
TXN6014,CN7014,AC7014,1284.68,2026-07-03,18:41:04,FAILED
TXN6015,CN7015,AC7015,3284.4,2026-07-05,11:10:29,PENDING
TXN6016,CN7016,AC7016,1568.75,2026-07-06,16:14:43,FAILED
TXN6017,CN7017,AC7017,4261.4,2026-07-07,08:14:52,SUCCESS
TXN6018,CN7018,AC7018,4083.72,2026-07-04,12:04:13,FAILED
TXN6019,CN7019,AC7019,4418.93,2026-07-03,11:41:31,PENDING
TXN6020,CN7020,AC7020,4458.01,2026-07-06,15:09:16,SUCCESS
TXN6021,CN7021,AC7021,1459.15,2026-07-05,16:16:47,FAILED
TXN6022,CN7022,AC7022,2313.64,2026-07-05,14:23:14,SUCCESS
TXN6023,CN7023,AC7023,2694.77,2026-07-01,08:55:07,SUCCESS
TXN6024,CN7024,AC7024,3249.0,2026-07-07,18:27:38,SUCCESS
TXN6025,CN7025,AC7025,2108.41,2026-07-05,15:33:16,FAILED
TXN6026,CN7026,AC7026,4345.66,2026-07-01,18:46:07,FAILED
TXN6027,CN7027,AC7027,3829.13,2026-07-07,18:21:07,SUCCESS
TXN6028,CN7028,AC7028,2343.4,2026-07-04,08:46:56,SUCCESS
TXN6029,CN7029,AC7029,4867.87,2026-07-07,10:32:58,SUCCESS
TXN6030,CN7030,AC7030,4391.44,2026-07-03,18:32:38,SUCCESS
TXN6031,CN7031,AC7031,1018.34,2026-07-07,10:34:49,FAILED
TXN6032,CN7032,AC7032,4616.92,2026-07-05,13:31:01,SUCCESS
TXN6033,CN7033,AC7033,4666.76,2026-07-07,12:15:03,SUCCESS
TXN6034,CN7034,AC7034,4426.65,2026-07-01,09:46:31,SUCCESS
TXN6035,CN7035,AC7035,4896.53,2026-07-05,10:08:42,PENDING
TXN6036,CN7036,AC7036,4750.19,2026-07-02,12:33:55,FAILED
TXN6037,CN7037,AC7037,2288.75,2026-07-02,16:48:46,SUCCESS
TXN6038,CN7038,AC7038,3650.86,2026-07-04,18:41:23,PENDING
TXN6039,CN7039,AC7039,4528.19,2026-07-04,09:15:14,SUCCESS
TXN6040,CN7040,AC7040,1889.0,2026-07-05,16:14:37,SUCCESS
TXN6041,CN7041,AC7041,333.8,2026-07-06,18:03:14,SUCCESS
TXN6042,CN7042,AC7042,4555.47,2026-07-07,13:04:32,SUCCESS
TXN6043,CN7043,AC7043,1608.84,2026-07-04,11:34:08,FAILED
TXN6044,CN7044,AC7044,3008.19,2026-07-02,15:51:26,SUCCESS
TXN6045,CN7045,AC7045,743.33,2026-07-06,14:22:27,PENDING
TXN6046,CN7046,AC7046,2495.02,2026-07-06,08:43:41,SUCCESS
TXN6047,CN7047,AC7047,584.88,2026-07-06,13:51:55,SUCCESS
TXN6048,CN7048,AC7048,1468.68,2026-07-02,16:28:08,PENDING
TXN6049,CN7049,AC7049,1312.39,2026-07-04,11:55:59,SUCCESS
TXN6050,CN7050,AC7050,2382.71,2026-07-07,16:06:03,FAILED
