transaction_id,consumer_number,account_number,amount,transaction_date,transaction_time,settlement_ref,utr_number,settlement_date,settlement_amount,transaction_status
TXN8501,CN8901,AC8901,4439.57,2026-07-06,11:59:54,SETT2501,UTR2501,2026-07-06,4439.57,SUCCESS
TXN8502,CN8902,AC8902,4160.13,2026-07-02,08:47:15,SETT2502,UTR2502,2026-07-02,4160.13,SUCCESS
TXN8503,CN8903,AC8903,2809.14,2026-07-03,15:15:00,SETT2503,UTR2503,2026-07-03,2809.14,SUCCESS
TXN8504,CN8904,AC8904,5639.53,2026-07-01,09:31:04,SETT2504,UTR2504,2026-07-01,5639.53,SUCCESS
TXN8505,CN8905,AC8905,4894.94,2026-07-07,13:24:21,SETT2505,UTR2505,2026-07-07,4894.94,SUCCESS
TXN8506,CN8906,AC8906,3352.16,2026-07-02,12:50:01,SETT2506,UTR2506,2026-07-02,3352.16,SUCCESS
TXN8507,CN8907,AC8907,4507.79,2026-07-06,11:03:12,SETT2507,UTR2507,2026-07-06,4387.79,SUCCESS
TXN8508,CN8908,AC8908,2383.37,2026-07-04,16:12:32,SETT2508,UTR2508,2026-07-04,2383.37,SUCCESS
TXN8509,CN8909,AC8909,2385.72,2026-07-02,11:23:40,SETT2509,UTR2509,2026-07-02,2385.72,SUCCESS
TXN8510,CN8910,AC8910,5313.95,2026-07-04,08:32:09,SETT2510,UTR2510,2026-07-04,5313.95,SUCCESS
TXN8511,CN8911,AC8911,579.2,2026-07-02,17:54:15,SETT2511,UTR2511X,2026-07-02,579.2,SUCCESS
TXN8512,CN8912,AC8912,5349.99,2026-07-07,15:35:38,SETT2512,UTR2512,2026-07-07,5349.99,SUCCESS
TXN8513,CN8913,AC8913,3906.05,2026-07-06,13:19:43,SETT2513,UTR2513,2026-07-06,3906.05,SUCCESS
TXN8514,CN8914,AC8914,3164.66,2026-07-02,08:21:23,SETT2514,UTR2514,2026-07-02,3164.66,SUCCESS
TXN8515,CN8915,AC8915,5410.19,2026-07-05,11:22:31,SETT2515,UTR2515,2026-07-05,5410.19,SUCCESS
